name,genres,popularity
Jeff Scott Soto,melodic hard rock,34
Jefferson Starship,album rock;art rock;classic rock;folk rock;hard rock;mellow gold;rock;soft rock;symphonic rock,55
Jerry Cantrell,alternative metal;alternative rock;grunge;rock,46
Jet Black Stare,hard alternative;post-grunge,38
Joe Bonamassa,blues rock;electric blues;modern blues;modern blues rock,63
Joe Lynn Turner,album rock;hard rock;melodic hard rock,36
Joe Satriani,album rock;hard rock;instrumental rock;metal guitar;neo classical metal;shred,60
Joe Stump,metal guitar;neo classical metal;shred,29
Joe Walsh,album rock;blues rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;roots rock;soft rock;southern rock;symphonic rock,62
John Cafferty & the Beaver Brown Band,album rock;heartland rock;mellow gold,47
John Mayall & The Bluesbreakers,blues;blues rock;british blues;british invasion;classic rock;country rock;electric blues;folk rock;modern blues;psychedelic rock;rock;roots rock,54
John Mellencamp,album rock;classic rock;country rock;folk rock;heartland rock;mellow gold;pop rock;rock;singer-songwriter;soft rock,71
John Norum,glam metal;hard rock;melodic hard rock;neo classical metal;swedish melodic rock,36
John Parr,album rock;mellow gold;new wave pop;soft rock,58
John Petrucci,instrumental rock;neo classical metal;progressive metal;shred,52
John Sykes,glam metal;hard rock,26
John Waite,album rock;mellow gold;new wave pop;soft rock,60
Johnny Winter,"[blues;blues rock;classic rock;country rock;electric blues;hard rock;modern blues;rock;texas blues,blues;blues rock;classic rock;country rock;electric blues;hard rock;modern blues;rock;roots rock;texas blues]",52
Jon Bon Jovi,rock,59
Jon Lord,progressive rock;rock keyboard;symphonic rock,39
Jon Oliva's Pain,progressive metal,19
Journey,album rock;classic rock;hard rock;mellow gold;rock;soft rock,78
Judas Priest,album rock;birmingham metal;classic rock;hard rock;metal;power metal;rock,71
Junkyard,glam metal;sleaze rock,30
KISS,album rock;classic rock;glam rock;hard rock;metal;rock,76
Kansas,album rock;art rock;bow pop;classic rock;hard rock;heartland rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,71
Keel,glam metal;hard rock;sleaze rock,30
Kenny Wayne Shepherd,blues;blues rock;classic rock;country rock;electric blues;modern blues;modern blues rock;rock,60
Kid Rock,alternative metal;nu metal;rock,72
Kiko Loureiro,brazilian metal;instrumental rock;neo classical metal;shred,42
Killing Joke,alternative rock;dance rock;experimental;gothic rock;industrial;industrial rock;new romantic;new wave;post-punk;punk;uk post-punk,55
Kim Mitchell,album rock;classic canadian rock;classic rock,46
King Diamond,danish metal;death metal;hard rock;metal;power metal;rock;thrash metal,52
King Kobra,glam metal;hard rock;melodic hard rock;sleaze rock,39
King's X,funk metal;hard rock,43
Kingdom Come,album rock;german hard rock;glam metal;hard rock;metal,45
Kissin' Dynamite,new wave of glam metal;nightrun;power metal,46
Kix,album rock;glam metal;hard rock;metal;sleaze rock,48
Koritni,deep melodic hard rock;modern hard rock;nwocr;sleaze rock,26
Kreator,death metal;german metal;german thrash metal;groove metal;hard rock;melodic thrash;metal;old school thrash;power metal;speed metal;thrash metal,56
Krokus,album rock;glam metal;hard rock;metal;rock;swiss rock,51
L.A. Guns,album rock;glam metal;hard rock;metal;rock;sleaze rock,50
LOUDNESS,glam metal;hard rock;j-metal;japanese heavy metal;metal;neo classical metal,42
Leatherwolf,glam metal,22
Lee Aaron,glam metal;hard rock,31
Leslie West,blues rock;electric blues;modern blues,37
Lillasyster,danspunk;eurovision;swedish alternative rock,57
Lillian Axe,glam metal;hard rock;sleaze rock,27
Lion,glam metal;hard rock,34
Lita Ford,album rock;glam metal;hard rock;rock,53
Little Angels,glam metal,25
Little Caesar,glam metal;hard rock;modern hard rock;sleaze rock,30
Little River Band,album rock;art rock;australian rock;classic rock;country rock;folk;folk rock;mellow gold;rock;soft rock;yacht rock,63
Living Colour,alternative metal;alternative rock;funk metal;funk rock;hard rock;rock;wrestling,56
Lizzy Borden,glam metal;hard rock;metal;neo-trad metal;us power metal,34
Local H,alternative metal;alternative rock;grunge;post-grunge;rock,54
London After Midnight,dark post-punk;dark rock;dark wave;ethereal wave;gothic rock;steampunk,41
Lords Of The New Church,gothic rock;new wave;uk post-punk,35
Lou Gramm,album rock;mellow gold;soft rock,47
Love Battery,grunge,34
Love Like Blood,corrosion;dark wave;ethereal wave;gothic rock;neue deutsche todeskunst,30
Love and Rockets,dance rock;dream pop;gothic rock;new romantic;new wave;new wave pop;post-punk;uk post-punk,49
Love/Hate,glam metal;hard rock;sleaze rock,29
Loverboy,album rock;classic canadian rock;classic rock;glam metal;hard rock;heartland rock;mellow gold;new wave pop;rock;soft rock,40
Lucifer's Friend,german hard rock;german rock;psychedelic blues-rock,30
Lynch Mob,glam metal;hard rock;modern hard rock;sleaze rock,40
Lynyrd Skynyrd,album rock;blues rock;classic rock;country rock;hard rock;mellow gold;rock;soft rock;southern rock,76
Machine Head,alternative metal;groove metal;hard rock;industrial metal;melodic groove metal;melodic metalcore;metal;nu metal;progressive groove metal;rap rock;rock,63
Mad Season,alternative metal;alternative rock;blues rock;grunge;rock;supergroup,55
Magazine,art punk;art rock;dance rock;dance-punk;experimental;madchester;new romantic;new wave;post-punk;pub rock;punk;synthpop;uk post-punk,43
Magnum,album rock;glam metal;hard rock;melodic hard rock;metal,40
Majesty,german metal;german power metal;melodic metal;neo classical metal;neo-trad metal;power metal,35
Malfunkshun,funk metal;grunge,31
Manfred Mann,brill building pop;british blues;british invasion;bubblegum pop;classic rock;classic uk pop;folk rock;merseybeat;rock-and-roll;rockabilly,56
Manfred Mann's Earth Band,album rock;art rock;british blues;classic rock;hard rock;progressive rock;symphonic rock,60
Manilla Road,doom metal;metal;neo-trad metal;nwothm;speed metal;us power metal,34
Manowar,comic metal;hard rock;metal;power metal;rock;us power metal,59
Marc Bolan,glam rock,38
Marshall Crenshaw,jangle pop;power pop;pub rock;roots rock,40
Marty Friedman,instrumental rock;neo classical metal;shred,48
Masterplan,german metal;german power metal;melodic metal;metal;neo classical metal;power metal;progressive metal;symphonic metal,44
Max Webster,classic canadian rock,36
McAuley Schenker Group,german hard rock;glam metal;hard rock,40
